sublineage,time,mean,upper,lower,time_correct,year,upper_log,lower_log,log
L3.1.1.2,5800.531881,16490270.19,3.12E+07,1787500.136,38.48497361,1981.515026,7.494154594,6.252246084,6.873200339
L3.1.1.2,6445.035423,16902571.61,3.20E+07,1850781.956,42.7475498,1977.25245,7.505149978,6.267355257,6.886252618
L3.1.1.2,7089.538966,17416450.54,3.29E+07,1901412.415,47.05072196,1972.949278,7.517195898,6.279076325,6.898136112
L3.1.1.2,7734.042508,18059184.92,3.42E+07,1952159.116,51.31329815,1968.686702,7.534026106,6.290515213,6.91227066
L3.1.1.2,8378.54605,18627666.54,3.52E+07,2018830.445,55.57587434,1964.424126,7.546542663,6.305099845,6.925821254
L3.1.1.2,9023.049593,19238574.24,3.64E+07,2107584.793,59.87904649,1960.120954,7.561101384,6.323785056,6.94244322
L3.1.1.2,9667.553135,19875735.89,3.75E+07,2213528.221,64.14162268,1955.858377,7.574031268,6.345085063,6.959558166
L3.1.1.2,10312.05668,20513081.83,3.87E+07,2323584.6,68.40419888,1951.595801,7.587710965,6.366158489,6.976934727
L3.1.1.2,10956.56022,20822132.47,3.92E+07,2417172.422,72.66677507,1947.333225,7.593286067,6.383307631,6.988296849
L3.1.1.2,11601.06376,21425530.75,4.03E+07,2543620.825,76.96994722,1943.030053,7.605305046,6.405452372,7.005378709
L3.1.1.2,12245.5673,21829559.73,4.10E+07,2635463.583,81.23252341,1938.767477,7.612783857,6.420857019,7.016820438
L3.1.1.2,12890.07085,22281407.15,4.18E+07,2759705.876,85.4950996,1934.5049,7.621176282,6.440862798,7.03101954
L3.1.1.2,13534.57439,22861045.97,4.28E+07,2890046.325,89.79827176,1930.201728,7.631443769,6.460904804,7.046174287
L3.1.1.2,14179.07793,23523532.51,4.40E+07,3006154.154,94.06084795,1925.939152,7.643452676,6.478011247,7.060731962
L3.1.1.2,14823.58147,23919238.87,4.47E+07,3144179.87,98.32342414,1921.676576,7.650307523,6.497507383,7.073907453
L3.1.1.2,15468.08502,24331137.91,4.54E+07,3255971.016,102.6265963,1917.373404,7.657055853,6.51268053,7.084868192
L3.1.1.2,16112.58856,24782040.86,4.62E+07,3338973.882,106.8891725,1913.110828,7.664641976,6.523613022,7.094127499
L3.1.1.2,16757.0921,25298169.04,4.72E+07,3411773.032,111.1517487,1908.848251,7.673941999,6.532980132,7.103461065
L3.1.1.2,17401.59564,25920336.01,4.83E+07,3496635.534,115.4549208,1904.545079,7.683947131,6.543650367,7.113798749
L3.1.1.2,18046.09919,26601996.92,4.96E+07,3586160.229,119.717497,1900.282503,7.695481676,6.55462969,7.125055683
L3.1.1.2,18690.60273,27048804.69,5.04E+07,3669672.946,123.9800732,1896.019927,7.702430536,6.56462736,7.133528948
L3.1.1.2,19335.10627,27636776.79,5.15E+07,3753487.347,128.2832454,1891.716755,7.711807229,6.574434956,7.143121093
L3.1.1.2,19979.60981,27971601.16,5.21E+07,3817740.598,132.5458216,1887.454178,7.716837723,6.581806416,7.14932207
L3.1.1.2,20624.11335,28281503.82,5.27E+07,3879280.16,136.8083978,1883.191602,7.721810615,6.588751145,7.15528088
L3.1.1.2,21268.6169,28783818.45,5.36E+07,3940574.82,141.1115699,1878.88843,7.72916479,6.595559578,7.162362184
L3.1.1.2,21913.12044,29158768.1,5.43E+07,3974149.77,145.3741461,1874.625854,7.73479983,6.59924423,7.16702203
L3.1.1.2,22557.62398,29508088.1,5.50E+07,4014614.806,149.6367223,1870.363278,7.740362689,6.603643882,7.172003286
L3.1.1.2,23202.12752,29772594.82,5.55E+07,4059343.998,153.9398944,1866.060106,7.744292983,6.608455856,7.17637442
L3.1.1.2,23846.63107,30139439.29,5.62E+07,4089404.477,158.2024706,1861.797529,7.749736316,6.611660068,7.180698192
L3.1.1.2,24491.13461,30400917.28,5.67E+07,4106675.211,162.4650468,1857.534953,7.753583059,6.613490357,7.183536708
L3.1.1.2,25135.63815,30763721.16,5.74E+07,4116266.357,166.768219,1853.231781,7.758911892,6.614503469,7.186707681
L3.1.1.2,25780.14169,31313445.19,5.85E+07,4123660.477,171.0307952,1848.969205,7.767155866,6.6152829,7.191219383
L3.1.1.2,26424.64524,31406178.25,5.87E+07,4132031.511,175.2933714,1844.706629,7.768638101,6.616163625,7.192400863
L3.1.1.2,27069.14878,31703629.16,5.93E+07,4132845.524,179.5965435,1840.403456,7.773054693,6.616249173,7.194651933
L3.1.1.2,27713.65232,31902965.09,5.97E+07,4125384.45,183.8591197,1836.14088,7.775974331,6.615464427,7.195719379
